variant,pct,price_lambda,stage1_precision,stage1_day_recall,stage1_event_recall,gt_days_per_event,oos_samples,positive_rate,auc_roc,auc_pr,precision,recall,event_recall,selected_premium_median,selected_count
spatial,0.0035,0.0,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.7604075766131102,0.30373700199694365,0.3123249299719888,0.9214876033057852,0.6772727272727272,0.0,714
spatial,0.0035,0.25,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.756667668864168,0.29613740414748463,0.311614730878187,0.9090909090909091,0.6727272727272727,0.0,706
spatial,0.0035,0.5,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.7555493631157097,0.29749423666759894,0.308659217877095,0.9132231404958677,0.6818181818181818,0.0,716
spatial,0.0035,1.0,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.7574303167188543,0.3015902733658346,0.3136427566807314,0.9214876033057852,0.6818181818181818,0.0,711
spatial,0.0035,2.0,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.7582992952840496,0.30324518705482373,0.3104895104895105,0.9173553719008265,0.6818181818181818,0.0,715
spatial,0.0035,4.0,0.17677136596055515,0.568075117370892,0.6909090909090909,1.9363636363636363,1369,0.17677136596055515,0.7590674430030727,0.3020338482230323,0.3121468926553672,0.9132231404958677,0.6818181818181818,0.0,708
v3_n2_temporal,0.004,0.0,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.5939673735957046,0.2123151876272818,0.22740963855421686,0.5968379446640316,0.5272727272727272,0.0,664
v3_n2_stored_oos,0.004,0.0,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.5834165639565358,0.20448503235688759,0.229607250755287,0.6007905138339921,0.509090909090909,0.0,662
spatial,0.004,0.0,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.7582876450337881,0.3104543328187455,0.32167832167832167,0.9090909090909091,0.6863636363636364,0.0,715
spatial,0.004,0.25,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.754471432416734,0.30637948337596876,0.32248939179632247,0.9011857707509882,0.6818181818181818,0.0,707
spatial,0.004,0.5,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.757573986711434,0.3095310689854508,0.32390381895332393,0.9051383399209486,0.6818181818181818,0.0,707
spatial,0.004,1.0,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.7546184141555811,0.30714766645679414,0.32285714285714284,0.8932806324110671,0.6818181818181818,0.0,700
spatial,0.004,2.0,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.7529750520634112,0.30461374706140026,0.3234880450070324,0.9090909090909091,0.6863636363636364,0.0,711
spatial,0.004,4.0,0.1848064280496713,0.5572687224669604,0.7,2.0636363636363635,1369,0.1848064280496713,0.750710116593707,0.3033578391831374,0.31966053748231965,0.8932806324110671,0.6863636363636364,0.0,707
v3_n2_temporal,0.006,0.0,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.5925978506441961,0.26183163435356716,0.26656626506024095,0.5728155339805825,0.5545454545454546,0.0,664
v3_n2_stored_oos,0.006,0.0,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.5859788117481834,0.2550029446899619,0.27341389728096677,0.5857605177993528,0.5363636363636364,0.0,662
spatial,0.006,0.0,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.7382915063809,0.36090122637835165,0.3653566229985444,0.8122977346278317,0.6681818181818182,0.0,687
spatial,0.006,0.25,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.7447273615436283,0.36973592264896155,0.36795252225519287,0.8025889967637541,0.6727272727272727,0.0,674
spatial,0.006,0.5,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.7396195884472125,0.36382861763931074,0.36588921282798836,0.8122977346278317,0.6863636363636364,0.0,686
spatial,0.006,1.0,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.7408011235268974,0.36358184475678285,0.36115107913669064,0.8122977346278317,0.6909090909090909,0.0,695
spatial,0.006,2.0,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.739544788422788,0.361282655213054,0.3701578192252511,0.8349514563106796,0.6954545454545454,0.0,697
spatial,0.006,4.0,0.22571219868517164,0.521079258010118,0.7227272727272728,2.6954545454545453,1369,0.22571219868517164,0.7382365512609147,0.36085874237108473,0.3649425287356322,0.8220064724919094,0.6909090909090909,0.0,696
