pct,price_lambda,period,samples,auc_roc,auc_pr,precision,recall
0.004,0.5,2013-2019,374,0.762711174435172,0.36892104448834195,0.3827751196172249,0.9411764705882353
0.004,0.5,2020-2026,391,0.7346743295019157,0.24623127392941702,0.2696078431372549,0.9482758620689655
0.004,1.0,2005-2012,604,0.7593025395656975,0.3176307755499316,0.31186440677966104,0.8363636363636363
0.004,1.0,2013-2019,374,0.7630164868715653,0.37232017269298,0.3891625615763547,0.9294117647058824
0.004,1.0,2020-2026,391,0.7284871077974526,0.24129702009244383,0.2722772277227723,0.9482758620689655
0.004,2.0,2005-2012,604,0.7548490982701509,0.313024542388477,0.31456953642384106,0.8636363636363636
0.004,2.0,2013-2019,374,0.7665377569713007,0.37638706132663424,0.3902439024390244,0.9411764705882353
0.004,2.0,2020-2026,391,0.7307134720927825,0.2441661869031838,0.2696078431372549,0.9482758620689655
0.004,4.0,2005-2012,604,0.7522175193227825,0.3103139917965535,0.31353135313531355,0.8636363636363636
0.004,4.0,2013-2019,374,0.762243028699369,0.37277412997718323,0.3781094527363184,0.8941176470588236
0.004,4.0,2020-2026,391,0.731800766283525,0.23813823761940114,0.270935960591133,0.9482758620689655
0.006,0.0,2005-2012,604,0.7453242038509259,0.3941850815340393,0.3772893772893773,0.7304964539007093
0.006,0.0,2013-2019,374,0.7338601802309209,0.4197374961723156,0.4392523364485981,0.8867924528301887
0.006,0.0,2020-2026,391,0.7234287675262281,0.25796132592501253,0.27,0.8709677419354839
0.006,0.25,2005-2012,604,0.747545302758758,0.3980727834306986,0.3805970149253731,0.723404255319149
0.006,0.25,2013-2019,374,0.7449310053506054,0.433934206496969,0.4380952380952381,0.8679245283018868
0.006,0.25,2020-2026,391,0.7336503578782234,0.2617956125890525,0.2755102040816326,0.8709677419354839
0.006,0.5,2005-2012,604,0.7445506487140603,0.40079472919682435,0.381294964028777,0.75177304964539
0.006,0.5,2013-2019,374,0.7426429174880316,0.4284891898351342,0.441747572815534,0.8584905660377359
0.006,0.5,2020-2026,391,0.7260270614766153,0.2629047498644855,0.26732673267326734,0.8709677419354839
0.006,1.0,2005-2012,604,0.7437541166919412,0.3967131016411255,0.36971830985915494,0.7446808510638298
0.006,1.0,2013-2019,374,0.7445437904815545,0.4287700436317799,0.44075829383886256,0.8773584905660378
